rank,label,exact_rows,exact_safe_amounts,numeric_mismatches,absolute_safe_error,status_exact,method_exact,plan_exact,earliest_exact,optimistic,pessimistic
95,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=mean;phase=median",3,4,21,5847095.53,17,18,18,18,11,10
96,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=mean;phase=earliest",3,4,21,5847095.53,17,18,18,18,11,10
97,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=mean;phase=latest",3,4,21,5977117.40,17,18,18,18,11,10
98,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=mean;phase=median",3,4,21,5977117.40,17,18,18,18,11,10
99,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=mean;phase=earliest",3,4,21,5977117.40,17,18,18,18,11,10
100,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=mean;phase=latest",3,4,21,5982197.96,17,18,18,18,11,10
101,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=mean;phase=median",3,4,21,5982197.96,17,18,18,18,11,10
102,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=mean;phase=earliest",3,4,21,5982197.96,17,18,18,18,11,10
103,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=latest;phase=latest",3,4,21,5106495.45,17,18,18,17,12,9
104,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=latest;phase=median",3,4,21,5106495.45,17,18,18,17,12,9
105,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=latest;phase=earliest",3,4,21,5106495.45,17,18,18,17,12,9
106,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=latest;phase=latest",3,4,21,5106495.45,17,18,18,17,12,9
107,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=latest;phase=median",3,4,21,5106495.45,17,18,18,17,12,9
108,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=latest;phase=earliest",3,4,21,5106495.45,17,18,18,17,12,9
109,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=latest;phase=latest",3,4,21,5111576.01,17,18,18,17,12,9
110,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=latest;phase=median",3,4,21,5111576.01,17,18,18,17,12,9
111,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=latest;phase=earliest",3,4,21,5111576.01,17,18,18,17,12,9
112,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=latest;phase=latest",3,4,21,5111576.01,17,18,18,17,12,9
113,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=latest;phase=median",3,4,21,5111576.01,17,18,18,17,12,9
114,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=latest;phase=earliest",3,4,21,5111576.01,17,18,18,17,12,9
115,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=latest;phase=latest",3,4,21,5564625.07,17,18,18,16,10,11
116,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=latest;phase=median",3,4,21,5564625.07,17,18,18,16,10,11
117,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=latest;phase=earliest",3,4,21,5564625.07,17,18,18,16,10,11
118,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=latest;phase=latest",3,4,21,5564625.07,17,18,18,16,10,11
119,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=latest;phase=median",3,4,21,5564625.07,17,18,18,16,10,11
120,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=latest;phase=earliest",3,4,21,5564625.07,17,18,18,16,10,11
121,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=2;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=mean;phase=latest",3,4,21,5751984.85,17,18,18,16,10,11
